lokasi_omset_penjualan,jenis_komoditi,omzet,,
Penangkar Bibit Ragunan,Mangga harum ,1125000,,
Penangkar Bibit Ragunan,Mangga indra mayu,3375000,,
Penangkar Bibit Ragunan,Mangga ciojao,42000000,,
Penangkar Bibit Ragunan,Mangga okiong,1250000,,
Penangkar Bibit Ragunan,Mangga Cokanan,800000,,
Penangkar Bibit Ragunan,Mangga Erwin,1000000,,
Penangkar Bibit Ragunan,Belimbing Dewi,900000,,
Penangkar Bibit Ragunan,belimbing dewa,850000,,
Penangkar Bibit Ragunan,belimbing wuluh,2100000,,
Penangkar Bibit Ragunan,klengkeng pingpong,375000,,
Penangkar Bibit Ragunan,klengkeng one ray,54000000,,
Penangkar Bibit Ragunan,klengkeng /durian,120000000,,
Penangkar Bibit Ragunan,Rambutan ropiah,7400000,,
Penangkar Bibit Ragunan,rambutan Binjai,7500000,,
Penangkar Bibit Ragunan,jambu biji,7500000,,
Penangkar Bibit Ragunan,jambu jincalo hijau,750000,,
Penangkar Bibit Ragunan,jambu cincalo merah ,350000,,
Penangkar Bibit Ragunan,jambu airlilin,1275000,,
Penangkar Bibit Ragunan,jambu air king rose,1400000,,
Penangkar Bibit Ragunan,jambu citra ,1750000,,
Penangkar Bibit Ragunan,jambu air apel ,700000,,
Penangkar Bibit Ragunan,sawo betawi,1200000,,
Penangkar Bibit Ragunan,sawo Manila,1440000,,
Penangkar Bibit Ragunan,sawo apel ,1520000,,
Penangkar Bibit Ragunan,sawo kecik,1200000,,
Penangkar Bibit Ragunan,Jamblang ungu,125000,,
Penangkar Bibit Ragunan,jamblang Putih,320000,,
Penangkar Bibit Ragunan,manggis ,4900000,,
Penangkar Bibit Ragunan,Matoa,980000,,
Penangkar Bibit Ragunan,sirsak,1080000,,
Penangkar Bibit Ragunan,Srikaya,315000,,
Penangkar Bibit Ragunan,Duku,300000,,
Penangkar Bibit Ragunan,Markisa,720000,,
Penangkar Bibit Ragunan,Jati unggul,640000,,
Penangkar Bibit Ragunan,Jati mas,280000,,
Penangkar Bibit Ragunan,Jati putih/ jabon,920000,,
Penangkar Bibit Ragunan,gandaria,1000000,,
Penangkar Bibit Ragunan,Bisbol,640000,,
Penangkar Bibit Ragunan,Leci,360000,,
Penangkar Bibit Ragunan,Kedongdong,900000,,
Penangkar Bibit Ragunan,pala,150000,,
Penangkar Bibit Ragunan,beach ceryy,3000000,,
Penangkar Bibit Ragunan,Alpukat,600000,,
Penangkar Bibit Ragunan,Asem Mansis,75000,,
Penangkar Bibit Ragunan,Asem ,1400000,,
Penangkar Bibit Ragunan,Nam _ nam,250000,,
Penangkar Bibit Ragunan,Miracley Fruit,150000,,
Penangkar Bibit Ragunan,kelapa hijau,250000,,
Penangkar Bibit Ragunan,kelapa hibrida,200000,,
Penangkar Bibit Ragunan,Sengon,250000,,
Penangkar Bibit Ragunan,Mahoni,150000,,
Penangkar Bibit Ragunan,Apel india,90000,,
Penangkar Bibit Ragunan,Jahor jaba/anggur b,75000,,
Penangkar Bibit Ragunan,Pohon tin,6000000,,
Penangkar Bibit Ragunan,Zaitun,1400000,,
Penangkar Bibit Ragunan,pohon kopi,2500000,,
Penangkar Bibit Ragunan,pohon kelor,525000,,
Penangkar Bibit Ragunan,pohon kepel,1100000,,
Penangkar Bibit Ragunan,kecapi,375000,,
Penangkar Bibit Ragunan,jengkol,525000,,
Penangkar Bibit Ragunan,Gowok,840000,,
Penangkar Bibit Ragunan,Cincau,560000,,
Penangkar Bibit Ragunan,sirih merah,1960000,,
Penangkar Bibit Ragunan,sirih hijau,1600000,,
Penangkar Bibit Ragunan,sirih kuning,2400000,,
Penangkar Bibit Ragunan,cabe merah,8000000,,
Penangkar Bibit Ragunan,cabe hijau,3000000,,
